,Unnamed: 0,img,difficulty_score,split
1729,1729,2008_003500,2.455035,train
414,414,2008_000839,2.47,train
1195,1195,2008_002424,2.5,train
1336,1336,2008_002710,2.5,train
1810,1810,2008_003675,2.5,train
1711,1711,2008_003475,2.5,train
1284,1284,2008_002603,2.50452,train
4858,4858,2009_001016,2.52,train
8120,8120,2010_002147,2.53,train
1768,1768,2008_003587,2.536459,train
9791,9791,2010_005492,2.54,train
4541,4541,2009_000417,2.545528,train
3129,3129,2008_006325,2.55,train
2279,2279,2008_004607,2.55,train
1597,1597,2008_003244,2.55588,train
2432,2432,2008_004911,2.556142,train
7913,7913,2010_001731,2.56,train
6372,6372,2009_003974,2.57,train
1900,1900,2008_003843,2.570065,train
9787,9787,2010_005483,2.570438,train
2154,2154,2008_004367,2.57072,train
1543,1543,2008_003120,2.571732,train
1723,1723,2008_003492,2.576141,train
5413,5413,2009_002104,2.58,train
3708,3708,2008_007504,2.58,train
1278,1278,2008_002589,2.582476,train
803,803,2008_001632,2.585907,train
627,627,2008_001275,2.586542,train
10688,10688,2011_001320,2.588214,train
2787,2787,2008_005636,2.59,train
590,590,2008_001194,2.6,train
1728,1728,2008_003499,2.6,train
569,569,2008_001154,2.6,train
998,998,2008_002013,2.6,train
1898,1898,2008_003841,2.6,train
1177,1177,2008_002379,2.6,train
1567,1567,2008_003170,2.601085,train
7663,7663,2010_001220,2.601164,train
1482,1482,2008_003008,2.60251,train
2344,2344,2008_004722,2.603845,train
876,876,2008_001774,2.607523,train
4102,4102,2008_008309,2.60911,train
2182,2182,2008_004422,2.609244,train
5266,5266,2009_001807,2.61,train
5966,5966,2009_003166,2.61,train
3932,3932,2008_007948,2.61,train
10976,10976,2011_001967,2.61,train
10645,10645,2011_001229,2.61,train
306,306,2008_000623,2.613413,train
5292,5292,2009_001851,2.613528,train
6980,6980,2009_005163,2.617284,train
3027,3027,2008_006113,2.617332,train
9586,9586,2010_005082,2.62,train
2709,2709,2008_005477,2.62,train
10320,10320,2011_000482,2.62,train
1585,1585,2008_003211,2.62,train
3458,3458,2008_006998,2.62,train
4882,4882,2009_001070,2.620489,train
9404,9404,2010_004729,2.623263,train
1693,1693,2008_003439,2.62414,train
409,409,2008_000832,2.625206,train
5953,5953,2009_003143,2.63,train
5212,5212,2009_001706,2.63,train
4067,4067,2008_008233,2.63,train
1605,1605,2008_003261,2.630161,train
3168,3168,2008_006400,2.633942,train
1577,1577,2008_003196,2.635737,train
7761,7761,2010_001421,2.64,train
3353,3353,2008_006785,2.640426,train
6124,6124,2009_003489,2.64195,train
166,166,2008_000340,2.646506,train
690,690,2008_001408,2.648467,train
3109,3109,2008_006280,2.6485540000000003,train
6766,6766,2009_004754,2.65,train
8417,8417,2010_002740,2.65,train
8218,8218,2010_002354,2.65,train
762,762,2008_001546,2.65,train
6991,6991,2009_005189,2.65,train
2693,2693,2008_005443,2.65,train
2651,2651,2008_005357,2.650752,train
2784,2784,2008_005633,2.66,train
11166,11166,2011_002407,2.66,train
6555,6555,2009_004317,2.66,train
2532,2532,2008_005114,2.66,train
1679,1679,2008_003415,2.660818,train
1978,1978,2008_004000,2.661141,train
504,504,2008_001026,2.661771,train
9130,9130,2010_004175,2.661834,train
845,845,2008_001715,2.662824,train
707,707,2008_001439,2.663397,train
6631,6631,2009_004477,2.663514,train
630,630,2008_001284,2.663683,train
6185,6185,2009_003601,2.666824,train
1993,1993,2008_004024,2.667827,train
5036,5036,2009_001360,2.67,train
4366,4366,2009_000063,2.67,train
2184,2184,2008_004426,2.67,train
5439,5439,2009_002147,2.67,train
2014,2014,2008_004074,2.67,train
2348,2348,2008_004730,2.67,train
2952,2952,2008_005968,2.67223,train
1257,1257,2008_002541,2.673734,train
2096,2096,2008_004257,2.674733,train
2802,2802,2008_005663,2.675318,train
4481,4481,2009_000291,2.68,train
7002,7002,2009_005210,2.68,train
6660,6660,2009_004536,2.68,train
8792,8792,2010_003495,2.68,train
892,892,2008_001806,2.68,train
5197,5197,2009_001676,2.68,train
4688,4688,2009_000692,2.68,train
9590,9590,2010_005093,2.68,train
7764,7764,2010_001426,2.68,train
9365,9365,2010_004654,2.680912,train
1178,1178,2008_002383,2.6813740000000004,train
8010,8010,2010_001927,2.681956,train
2012,2012,2008_004069,2.683478,train
9116,9116,2010_004145,2.686366,train
3766,3766,2008_007623,2.686729,train
1276,1276,2008_002584,2.687066,train
10099,10099,2010_006082,2.68782,train
6996,6996,2009_005198,2.689385,train
6987,6987,2009_005178,2.69,train
6908,6908,2009_005033,2.69,train
8310,8310,2010_002532,2.6910830000000003,train
1701,1701,2008_003453,2.694454,train
2975,2975,2008_006020,2.694568,train
10920,10920,2011_001858,2.697826,train
10699,10699,2011_001344,2.697948,train
4840,4840,2009_000985,2.7,train
9200,9200,2010_004312,2.7,train
368,368,2008_000742,2.7,train
7128,7128,2010_000152,2.7,train
451,451,2008_000912,2.7,train
826,826,2008_001679,2.7,train
510,510,2008_001036,2.7,train
1157,1157,2008_002343,2.700202,train
1109,1109,2008_002240,2.700589,train
2600,2600,2008_005254,2.700667,train
2351,2351,2008_004739,2.700872,train
1575,1575,2008_003191,2.701182,train
10626,10626,2011_001188,2.701955,train
319,319,2008_000650,2.702145,train
3422,3422,2008_006923,2.703305,train
943,943,2008_001903,2.705055,train
5526,5526,2009_002319,2.705283,train
1364,1364,2008_002767,2.706041,train
4856,4856,2009_001012,2.706293,train
1289,1289,2008_002616,2.706693,train
3577,3577,2008_007236,2.706743,train
1908,1908,2008_003858,2.707368,train
11147,11147,2011_002371,2.707496,train
7639,7639,2010_001177,2.709002,train
1542,1542,2008_003114,2.709117,train
2957,2957,2008_005977,2.71,train
2840,2840,2008_005735,2.71,train
10872,10872,2011_001753,2.71,train
6465,6465,2009_004157,2.71,train
6712,6712,2009_004639,2.71,train
10758,10758,2011_001514,2.71,train
4875,4875,2009_001056,2.71,train
3579,3579,2008_007239,2.71,train
3051,3051,2008_006164,2.71,train
8677,8677,2010_003255,2.71,train
1134,1134,2008_002294,2.711383,train
9784,9784,2010_005475,2.711964,train
2876,2876,2008_005816,2.712296,train
1010,1010,2008_002042,2.713625,train
1963,1963,2008_003974,2.713785,train
1660,1660,2008_003369,2.714329,train
2368,2368,2008_004771,2.715193,train
1235,1235,2008_002494,2.715492,train
2357,2357,2008_004752,2.7164900000000003,train
1765,1765,2008_003580,2.717396,train
1620,1620,2008_003286,2.717696,train
1025,1025,2008_002073,2.717803,train
1917,1917,2008_003876,2.718154,train
228,228,2008_000464,2.718495,train
2478,2478,2008_005003,2.72,train
10803,10803,2011_001607,2.72,train
3657,3657,2008_007403,2.72,train
8081,8081,2010_002065,2.72,train
5252,5252,2009_001781,2.72,train
3635,3635,2008_007353,2.72,train
11085,11085,2011_002222,2.72,train
5680,5680,2009_002614,2.72,train
3355,3355,2008_006793,2.72,train
3271,3271,2008_006619,2.72,train
4941,4941,2009_001180,2.72,train
4752,4752,2009_000817,2.72,train
9382,9382,2010_004680,2.72,train
2634,2634,2008_005327,2.721161,train
1574,1574,2008_003189,2.721316,train
1742,1742,2008_003524,2.722235,train
10521,10521,2011_000961,2.722248,train
2058,2058,2008_004165,2.72455,train
8216,8216,2010_002349,2.725042,train
1629,1629,2008_003302,2.72682,train
9241,9241,2010_004385,2.72793,train
4974,4974,2009_001242,2.728586,train
1222,1222,2008_002467,2.728861,train
4091,4091,2008_008284,2.73,train
1988,1988,2008_004017,2.73,train
7007,7007,2009_005218,2.73,train
5983,5983,2009_003201,2.73,train
2616,2616,2008_005288,2.73,train
4892,4892,2009_001090,2.73,train
10100,10100,2010_006084,2.73,train
10852,10852,2011_001712,2.73,train
9417,9417,2010_004756,2.73,train
7308,7308,2010_000506,2.73,train
6364,6364,2009_003958,2.73,train
5790,5790,2009_002831,2.73,train
4511,4511,2009_000350,2.73,train
6189,6189,2009_003608,2.73,train
7669,7669,2010_001240,2.73,train
1155,1155,2008_002338,2.731107,train
3015,3015,2008_006090,2.731545,train
4247,4247,2008_008601,2.7319720000000003,train
1438,1438,2008_002910,2.731976,train
10635,10635,2011_001211,2.73279,train
2879,2879,2008_005821,2.735009,train
5291,5291,2009_001850,2.736775,train
1621,1621,2008_003287,2.736854,train
5911,5911,2009_003070,2.73693,train
652,652,2008_001335,2.7371540000000003,train
766,766,2008_001551,2.73818,train
3415,3415,2008_006908,2.738762,train
9596,9596,2010_005101,2.739103,train
6949,6949,2009_005111,2.739785,train
10685,10685,2011_001315,2.74,train
848,848,2008_001719,2.74,train
6315,6315,2009_003848,2.74,train
6382,6382,2009_003994,2.74,train
9591,9591,2010_005094,2.74,train
10336,10336,2011_000514,2.74,train
9637,9637,2010_005184,2.74,train
7570,7570,2010_001039,2.74,train
4868,4868,2009_001038,2.74,train
7876,7876,2010_001652,2.74,train
4395,4395,2009_000122,2.74,train
7946,7946,2010_001794,2.74,train
6958,6958,2009_005130,2.74,train
4142,4142,2008_008379,2.74,train
4598,4598,2009_000526,2.74,train
1955,1955,2008_003958,2.74,train
9137,9137,2010_004187,2.74,train
1596,1596,2008_003242,2.741236,train
6001,6001,2009_003241,2.741752,train
10184,10184,2011_000185,2.741942,train
2740,2740,2008_005538,2.742805,train
1406,1406,2008_002854,2.7431520000000003,train
6866,6866,2009_004944,2.7439999999999998,train
9910,9910,2010_005719,2.744248,train
5939,5939,2009_003118,2.745197,train
5512,5512,2009_002291,2.746679,train
2308,2308,2008_004659,2.7467,train
9127,9127,2010_004171,2.75,train
832,832,2008_001691,2.75,train
4910,4910,2009_001117,2.75,train
5991,5991,2009_003219,2.75,train
5845,5845,2009_002941,2.75,train
5003,5003,2009_001301,2.75,train
9821,9821,2010_005543,2.75,train
8883,8883,2010_003680,2.75,train
10276,10276,2011_000392,2.75,train
2691,2691,2008_005436,2.75,train
8318,8318,2010_002543,2.75,train
2700,2700,2008_005455,2.75,train
3448,3448,2008_006973,2.75,train
2684,2684,2008_005421,2.750222,train
194,194,2008_000399,2.751186,train
1554,1554,2008_003143,2.751786,train
1902,1902,2008_003846,2.752365,train
5648,5648,2009_002561,2.752952,train
838,838,2008_001704,2.753057,train
1378,1378,2008_002793,2.7539290000000003,train
5489,5489,2009_002242,2.754688,train
1209,1209,2008_002446,2.75484,train
879,879,2008_001782,2.75493,train
6870,6870,2009_004953,2.755,train
1339,1339,2008_002715,2.75624,train
2174,2174,2008_004410,2.756386,train
3927,3927,2008_007940,2.756425,train
8666,8666,2010_003238,2.756533,train
617,617,2008_001255,2.756785,train
6030,6030,2009_003300,2.757155,train
4504,4504,2009_000339,2.7581330000000004,train
2046,2046,2008_004134,2.758317,train
745,745,2008_001520,2.7583740000000003,train
1096,1096,2008_002215,2.758951,train
3907,3907,2008_007904,2.76,train
5363,5363,2009_001999,2.76,train
9928,9928,2010_005752,2.76,train
9293,9293,2010_004501,2.76,train
2921,2921,2008_005903,2.76,train
6201,6201,2009_003635,2.76,train
8617,8617,2010_003139,2.76,train
5931,5931,2009_003105,2.76,train
4195,4195,2008_008496,2.76,train
9867,9867,2010_005627,2.76,train
2622,2622,2008_005303,2.76,train
2489,2489,2008_005036,2.76,train
9405,9405,2010_004730,2.76,train
9826,9826,2010_005557,2.76,train
6078,6078,2009_003394,2.76,train
10788,10788,2011_001572,2.76,train
10671,10671,2011_001284,2.76,train
4661,4661,2009_000638,2.76,train
6540,6540,2009_004285,2.76,train
1603,1603,2008_003255,2.760091,train
1535,1535,2008_003104,2.761488,train
3967,3967,2008_008022,2.761491,train
1524,1524,2008_003083,2.761847,train
2032,2032,2008_004106,2.762809,train
8037,8037,2010_001979,2.763125,train
1422,1422,2008_002882,2.763374,train
2834,2834,2008_005724,2.763662,train
8583,8583,2010_003077,2.763769,train
725,725,2008_001475,2.7647630000000003,train
1778,1778,2008_003608,2.765221,train
9651,9651,2010_005213,2.766257,train
6130,6130,2009_003498,2.766441,train
3073,3073,2008_006213,2.766454,train
825,825,2008_001676,2.766586,train
2482,2482,2008_005013,2.767612,train
9878,9878,2010_005647,2.768275,train
1738,1738,2008_003520,2.768282,train
2118,2118,2008_004296,2.7683150000000003,train
5463,5463,2009_002199,2.768639,train
