,img,difficulty_score,split
0,2008_000003,3.6821650000000004,val
1,2008_000007,3.778378,train
2,2008_000008,3.220686,train
3,2008_000009,4.473554,train
4,2008_000015,3.709118,test
5,2008_000016,4.000782,test
6,2008_000019,3.207394,train
7,2008_000021,2.8837639999999998,val
8,2008_000023,3.362935,test
9,2008_000026,3.864584,val
10,2008_000027,3.064627,val
11,2008_000028,3.575131,train
12,2008_000032,4.921876999999999,train
13,2008_000033,3.159318,test
14,2008_000034,3.3407080000000002,val
15,2008_000036,3.36406,test
16,2008_000037,3.245931,train
17,2008_000041,3.78975,train
18,2008_000042,3.921324,val
19,2008_000043,3.673952,val
20,2008_000045,3.0238080000000003,train
21,2008_000050,3.609549,train
22,2008_000051,4.487978,val
23,2008_000052,3.266562,val
24,2008_000053,3.201633,train
25,2008_000054,3.347214,train
26,2008_000056,3.082774,train
27,2008_000059,2.929823,val
28,2008_000060,2.9235130000000003,test
29,2008_000062,3.09722,val
30,2008_000064,3.315321,test
31,2008_000066,2.9268650000000003,val
32,2008_000067,3.697055,test
33,2008_000070,3.6273150000000003,test
34,2008_000073,3.955826,train
35,2008_000074,3.153829,val
36,2008_000075,3.250914,test
37,2008_000076,3.217056,test
38,2008_000078,3.132351,train
39,2008_000080,2.99971,val
40,2008_000082,3.277338,train
41,2008_000084,3.552179,train
42,2008_000085,3.323431,val
43,2008_000089,3.054991,train
44,2008_000090,3.840636,test
45,2008_000093,3.5420809999999996,val
46,2008_000095,4.6806529999999995,test
47,2008_000096,2.903946,train
48,2008_000097,3.002711,train
49,2008_000099,3.112706,test
50,2008_000103,3.782968,train
51,2008_000105,3.155659,train
52,2008_000107,4.813127,val
53,2008_000109,3.875606,val
54,2008_000112,3.3101839999999996,train
55,2008_000115,3.25,test
56,2008_000116,2.966157,val
57,2008_000119,3.1365830000000003,val
58,2008_000120,3.253889,train
59,2008_000123,2.803032,val
60,2008_000128,3.369416,train
61,2008_000131,2.953147,test
62,2008_000132,4.126507,val
63,2008_000133,3.863682,val
64,2008_000134,2.9,val
65,2008_000138,4.040928,train
66,2008_000140,4.1246540000000005,val
67,2008_000141,3.494857,test
68,2008_000142,3.2490930000000002,val
69,2008_000143,3.1062,test
70,2008_000144,3.1696560000000003,test
71,2008_000145,3.622925,val
72,2008_000148,3.112597,train
73,2008_000149,3.8447150000000003,train
74,2008_000151,3.71906,train
75,2008_000154,3.8407080000000002,test
76,2008_000162,2.929049,test
77,2008_000163,3.094605,val
78,2008_000174,3.6914010000000004,val
