,net_name,train_type,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
0,alexnet,finetune,0,RVvGV,1,present,1.0,,,
1,alexnet,finetune,0,RVvGV,2,present,1.0,,,
2,alexnet,finetune,0,RVvGV,4,present,1.0,,,
3,alexnet,finetune,0,RVvGV,8,present,0.92,,,
4,alexnet,finetune,0,RVvGV,1,absent,1.0,,,
5,alexnet,finetune,0,RVvGV,2,absent,1.0,,,
6,alexnet,finetune,0,RVvGV,4,absent,1.0,,,
7,alexnet,finetune,0,RVvGV,8,absent,1.0,,,
8,alexnet,finetune,0,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
9,alexnet,finetune,0,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
10,alexnet,finetune,0,RVvGV,4,both,1.0,0.995,0.005,5.151658607097801
11,alexnet,finetune,0,RVvGV,8,both,0.96,0.9945652173913043,0.07407407407407407,3.992968020226252
12,alexnet,finetune,1,RVvGV,1,present,1.0,,,
13,alexnet,finetune,1,RVvGV,2,present,1.0,,,
14,alexnet,finetune,1,RVvGV,4,present,0.98,,,
15,alexnet,finetune,1,RVvGV,8,present,0.9,,,
16,alexnet,finetune,1,RVvGV,1,absent,1.0,,,
17,alexnet,finetune,1,RVvGV,2,absent,1.0,,,
18,alexnet,finetune,1,RVvGV,4,absent,1.0,,,
19,alexnet,finetune,1,RVvGV,8,absent,1.0,,,
20,alexnet,finetune,1,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
21,alexnet,finetune,1,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
22,alexnet,finetune,1,RVvGV,4,both,0.99,0.9948979591836735,0.0196078431372549,4.63075222854786
23,alexnet,finetune,1,RVvGV,8,both,0.95,0.9944444444444445,0.09090909090909091,3.8743625497702503
24,alexnet,finetune,2,RVvGV,1,present,1.0,,,
25,alexnet,finetune,2,RVvGV,2,present,1.0,,,
26,alexnet,finetune,2,RVvGV,4,present,0.99,,,
27,alexnet,finetune,2,RVvGV,8,present,0.9,,,
28,alexnet,finetune,2,RVvGV,1,absent,1.0,,,
29,alexnet,finetune,2,RVvGV,2,absent,1.0,,,
30,alexnet,finetune,2,RVvGV,4,absent,1.0,,,
31,alexnet,finetune,2,RVvGV,8,absent,1.0,,,
32,alexnet,finetune,2,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
33,alexnet,finetune,2,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
34,alexnet,finetune,2,RVvGV,4,both,0.995,0.9949494949494949,0.009900990099009901,4.902431033730798
35,alexnet,finetune,2,RVvGV,8,both,0.95,0.9944444444444445,0.09090909090909091,3.8743625497702503
36,alexnet,finetune,3,RVvGV,1,present,1.0,,,
37,alexnet,finetune,3,RVvGV,2,present,1.0,,,
38,alexnet,finetune,3,RVvGV,4,present,0.98,,,
39,alexnet,finetune,3,RVvGV,8,present,0.89,,,
40,alexnet,finetune,3,RVvGV,1,absent,1.0,,,
41,alexnet,finetune,3,RVvGV,2,absent,1.0,,,
42,alexnet,finetune,3,RVvGV,4,absent,1.0,,,
43,alexnet,finetune,3,RVvGV,8,absent,1.0,,,
44,alexnet,finetune,3,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
45,alexnet,finetune,3,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
46,alexnet,finetune,3,RVvGV,4,both,0.99,0.9948979591836735,0.0196078431372549,4.63075222854786
47,alexnet,finetune,3,RVvGV,8,both,0.945,0.9943820224719101,0.0990990990990991,3.821975475501591
48,alexnet,finetune,4,RVvGV,1,present,1.0,,,
49,alexnet,finetune,4,RVvGV,2,present,1.0,,,
50,alexnet,finetune,4,RVvGV,4,present,0.99,,,
51,alexnet,finetune,4,RVvGV,8,present,0.87,,,
52,alexnet,finetune,4,RVvGV,1,absent,1.0,,,
53,alexnet,finetune,4,RVvGV,2,absent,1.0,,,
54,alexnet,finetune,4,RVvGV,4,absent,1.0,,,
55,alexnet,finetune,4,RVvGV,8,absent,1.0,,,
56,alexnet,finetune,4,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
57,alexnet,finetune,4,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
58,alexnet,finetune,4,RVvGV,4,both,0.995,0.9949494949494949,0.009900990099009901,4.902431033730798
59,alexnet,finetune,4,RVvGV,8,both,0.935,0.9942528735632183,0.11504424778761062,3.7274331949373307
60,alexnet,finetune,0,RVvRHGV,1,present,1.0,,,
61,alexnet,finetune,0,RVvRHGV,2,present,1.0,,,
62,alexnet,finetune,0,RVvRHGV,4,present,0.96,,,
63,alexnet,finetune,0,RVvRHGV,8,present,0.86,,,
64,alexnet,finetune,0,RVvRHGV,1,absent,1.0,,,
65,alexnet,finetune,0,RVvRHGV,2,absent,1.0,,,
66,alexnet,finetune,0,RVvRHGV,4,absent,1.0,,,
67,alexnet,finetune,0,RVvRHGV,8,absent,0.96,,,
68,alexnet,finetune,0,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
69,alexnet,finetune,0,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
70,alexnet,finetune,0,RVvRHGV,4,both,0.98,0.9947916666666666,0.038461538461538464,4.330506973452728
71,alexnet,finetune,0,RVvRHGV,8,both,0.91,0.9555555555555556,0.12727272727272726,2.8406663427882517
72,alexnet,finetune,1,RVvRHGV,1,present,1.0,,,
73,alexnet,finetune,1,RVvRHGV,2,present,1.0,,,
74,alexnet,finetune,1,RVvRHGV,4,present,0.97,,,
75,alexnet,finetune,1,RVvRHGV,8,present,0.91,,,
76,alexnet,finetune,1,RVvRHGV,1,absent,1.0,,,
77,alexnet,finetune,1,RVvRHGV,2,absent,1.0,,,
78,alexnet,finetune,1,RVvRHGV,4,absent,1.0,,,
