setname,train_size,epochs,net_number,set_size,err
train,1200,250,0,all,0.017187500000000022
train,1200,250,0,1,0.0
train,1200,250,0,2,0.0015625000000000222
train,1200,250,0,4,0.016562500000000036
train,1200,250,0,8,0.05062500000000003
train,1200,250,1,all,0.016796875000000044
train,1200,250,1,1,0.0
train,1200,250,1,2,0.0006249999999999867
train,1200,250,1,4,0.01749999999999996
train,1200,250,1,8,0.04906250000000001
train,1200,250,2,all,0.014218749999999947
train,1200,250,2,1,0.0
train,1200,250,2,2,0.00031250000000004885
train,1200,250,2,4,0.013437499999999991
train,1200,250,2,8,0.04312499999999997
train,1200,250,3,all,0.017031250000000053
train,1200,250,3,1,0.0
train,1200,250,3,2,0.0006249999999999867
train,1200,250,3,4,0.01968749999999997
train,1200,250,3,8,0.047812500000000036
train,1200,250,4,all,0.012890625000000044
train,1200,250,4,1,0.0
train,1200,250,4,2,0.0009375000000000355
train,1200,250,4,4,0.013125000000000053
train,1200,250,4,8,0.03749999999999998
train,3200,250,0,all,0.003593749999999951
train,3200,250,0,1,0.0
train,3200,250,0,2,0.0
train,3200,250,0,4,0.0009375000000000355
train,3200,250,0,8,0.013437499999999991
train,3200,250,1,all,0.00390625
train,3200,250,1,1,0.0
train,3200,250,1,2,0.0
train,3200,250,1,4,0.00187499999999996
train,3200,250,1,8,0.01375000000000004
train,3200,250,2,all,0.00398437500000004
train,3200,250,2,1,0.0
train,3200,250,2,2,0.0
train,3200,250,2,4,0.0024999999999999467
train,3200,250,2,8,0.013437499999999991
train,3200,250,3,all,0.003750000000000031
train,3200,250,3,1,0.0
train,3200,250,3,2,0.0
train,3200,250,3,4,0.0009375000000000355
train,3200,250,3,8,0.014062499999999978
train,3200,250,4,all,0.003515625000000022
train,3200,250,4,1,0.0
train,3200,250,4,2,0.0
train,3200,250,4,4,0.002187500000000009
train,3200,250,4,8,0.011874999999999969
train,6400,250,0,all,0.0027343749999999556
train,6400,250,0,1,0.0
train,6400,250,0,2,0.0
train,6400,250,0,4,0.0006249999999999867
train,6400,250,0,8,0.010312499999999947
train,6400,250,1,all,0.0014843749999999822
train,6400,250,1,1,0.0
train,6400,250,1,2,0.0
train,6400,250,1,4,0.00031250000000004885
train,6400,250,1,8,0.005624999999999991
train,6400,250,2,all,0.0010937500000000044
train,6400,250,2,1,0.0
train,6400,250,2,2,0.0
train,6400,250,2,4,0.0
train,6400,250,2,8,0.004375000000000018
train,6400,250,3,all,0.0017187499999999911
train,6400,250,3,1,0.0
train,6400,250,3,2,0.0
train,6400,250,3,4,0.00031250000000004885
train,6400,250,3,8,0.006562500000000027
train,6400,250,4,all,0.0016406249999999512
train,6400,250,4,1,0.0
train,6400,250,4,2,0.0
train,6400,250,4,4,0.0
train,6400,250,4,8,0.006562500000000027
train,8000,250,0,all,0.0012499999999999734
train,8000,250,0,1,0.0
train,8000,250,0,2,0.0
train,8000,250,0,4,0.00031250000000004885
train,8000,250,0,8,0.004687499999999956
train,8000,250,1,all,0.0009375000000000355
train,8000,250,1,1,0.0
train,8000,250,1,2,0.0
train,8000,250,1,4,0.0
train,8000,250,1,8,0.003750000000000031
train,8000,250,2,all,0.0009375000000000355
train,8000,250,2,1,0.0
train,8000,250,2,2,0.0
train,8000,250,2,4,0.0
train,8000,250,2,8,0.003750000000000031
train,8000,250,3,all,0.0007031250000000266
train,8000,250,3,1,0.0
train,8000,250,3,2,0.0
train,8000,250,3,4,0.00031250000000004885
