,stim_type,epochs,replicate,set_size,acc
1,eff,10,0,1,0.98875
2,eff,10,0,2,0.895
3,eff,10,0,4,0.8
4,eff,10,0,8,0.71875
5,eff,10,1,1,0.99625
6,eff,10,1,2,0.88875
7,eff,10,1,4,0.825
8,eff,10,1,8,0.7025
9,eff,10,2,1,0.98625
10,eff,10,2,2,0.89625
11,eff,10,2,4,0.795
12,eff,10,2,8,0.71875
13,eff,10,3,1,1.0
14,eff,10,3,2,0.92375
15,eff,10,3,4,0.82375
16,eff,10,3,8,0.72125
17,eff,10,4,1,0.99625
18,eff,10,4,2,0.9
19,eff,10,4,4,0.78125
20,eff,10,4,8,0.7275
21,ineff,10,0,1,0.7175
22,ineff,10,0,2,0.56
23,ineff,10,0,4,0.51625
24,ineff,10,0,8,0.48875
25,ineff,10,1,1,0.71125
26,ineff,10,1,2,0.5325
27,ineff,10,1,4,0.5425
28,ineff,10,1,8,0.49125
29,ineff,10,2,1,0.73375
30,ineff,10,2,2,0.54875
31,ineff,10,2,4,0.53
32,ineff,10,2,8,0.52125
33,ineff,10,3,1,0.6875
34,ineff,10,3,2,0.53875
35,ineff,10,3,4,0.53625
36,ineff,10,3,8,0.5075
37,ineff,10,4,1,0.755
38,ineff,10,4,2,0.57375
39,ineff,10,4,4,0.53375
40,ineff,10,4,8,0.50125
41,eff,400,0,1,1.0
42,eff,400,0,2,0.99
43,eff,400,0,4,0.9775
44,eff,400,0,8,0.9075
45,eff,400,1,1,1.0
46,eff,400,1,2,0.9975
47,eff,400,1,4,0.97
48,eff,400,1,8,0.93
49,eff,400,2,1,1.0
50,eff,400,2,2,0.9975
51,eff,400,2,4,0.97875
52,eff,400,2,8,0.91125
53,eff,400,3,1,1.0
54,eff,400,3,2,0.995
55,eff,400,3,4,0.98375
56,eff,400,3,8,0.92875
57,eff,400,4,1,1.0
58,eff,400,4,2,0.995
59,eff,400,4,4,0.975
60,eff,400,4,8,0.92625
61,ineff,400,0,1,1.0
62,ineff,400,0,2,0.855
63,ineff,400,0,4,0.66875
64,ineff,400,0,8,0.57625
65,ineff,400,1,1,1.0
66,ineff,400,1,2,0.84375
67,ineff,400,1,4,0.6875
68,ineff,400,1,8,0.5525
69,ineff,400,2,1,0.9975
70,ineff,400,2,2,0.84125
71,ineff,400,2,4,0.68625
72,ineff,400,2,8,0.5575
73,ineff,400,3,1,0.99875
74,ineff,400,3,2,0.84625
75,ineff,400,3,4,0.68625
76,ineff,400,3,8,0.565
77,ineff,400,4,1,1.0
78,ineff,400,4,2,0.85125
79,ineff,400,4,4,0.67625
80,ineff,400,4,8,0.58125
