,net_name,train_type,net_number,stimulus,target_condition,set_size,accuracy
0,alexnet,train_big_set_size,0,RVvGV,present,1,1.0
1,alexnet,train_big_set_size,0,RVvGV,present,2,1.0
2,alexnet,train_big_set_size,0,RVvGV,present,4,1.0
3,alexnet,train_big_set_size,0,RVvGV,present,6,1.0
4,alexnet,train_big_set_size,0,RVvGV,present,8,1.0
5,alexnet,train_big_set_size,0,RVvGV,present,12,1.0
6,alexnet,train_big_set_size,0,RVvGV,present,18,1.0
7,alexnet,train_big_set_size,0,RVvGV,absent,1,1.0
8,alexnet,train_big_set_size,0,RVvGV,absent,2,1.0
9,alexnet,train_big_set_size,0,RVvGV,absent,4,1.0
10,alexnet,train_big_set_size,0,RVvGV,absent,6,1.0
11,alexnet,train_big_set_size,0,RVvGV,absent,8,1.0
12,alexnet,train_big_set_size,0,RVvGV,absent,12,1.0
13,alexnet,train_big_set_size,0,RVvGV,absent,18,1.0
14,alexnet,train_big_set_size,1,RVvGV,present,1,1.0
15,alexnet,train_big_set_size,1,RVvGV,present,2,1.0
16,alexnet,train_big_set_size,1,RVvGV,present,4,1.0
17,alexnet,train_big_set_size,1,RVvGV,present,6,1.0
18,alexnet,train_big_set_size,1,RVvGV,present,8,1.0
19,alexnet,train_big_set_size,1,RVvGV,present,12,1.0
20,alexnet,train_big_set_size,1,RVvGV,present,18,1.0
21,alexnet,train_big_set_size,1,RVvGV,absent,1,1.0
22,alexnet,train_big_set_size,1,RVvGV,absent,2,1.0
23,alexnet,train_big_set_size,1,RVvGV,absent,4,1.0
24,alexnet,train_big_set_size,1,RVvGV,absent,6,1.0
25,alexnet,train_big_set_size,1,RVvGV,absent,8,1.0
26,alexnet,train_big_set_size,1,RVvGV,absent,12,1.0
27,alexnet,train_big_set_size,1,RVvGV,absent,18,1.0
28,alexnet,train_big_set_size,2,RVvGV,present,1,1.0
29,alexnet,train_big_set_size,2,RVvGV,present,2,1.0
30,alexnet,train_big_set_size,2,RVvGV,present,4,1.0
31,alexnet,train_big_set_size,2,RVvGV,present,6,1.0
32,alexnet,train_big_set_size,2,RVvGV,present,8,1.0
33,alexnet,train_big_set_size,2,RVvGV,present,12,1.0
34,alexnet,train_big_set_size,2,RVvGV,present,18,0.9833333333333333
35,alexnet,train_big_set_size,2,RVvGV,absent,1,1.0
36,alexnet,train_big_set_size,2,RVvGV,absent,2,1.0
37,alexnet,train_big_set_size,2,RVvGV,absent,4,1.0
38,alexnet,train_big_set_size,2,RVvGV,absent,6,1.0
39,alexnet,train_big_set_size,2,RVvGV,absent,8,1.0
40,alexnet,train_big_set_size,2,RVvGV,absent,12,1.0
41,alexnet,train_big_set_size,2,RVvGV,absent,18,1.0
42,alexnet,train_big_set_size,3,RVvGV,present,1,1.0
43,alexnet,train_big_set_size,3,RVvGV,present,2,1.0
44,alexnet,train_big_set_size,3,RVvGV,present,4,1.0
45,alexnet,train_big_set_size,3,RVvGV,present,6,1.0
46,alexnet,train_big_set_size,3,RVvGV,present,8,1.0
47,alexnet,train_big_set_size,3,RVvGV,present,12,1.0
48,alexnet,train_big_set_size,3,RVvGV,present,18,1.0
49,alexnet,train_big_set_size,3,RVvGV,absent,1,1.0
50,alexnet,train_big_set_size,3,RVvGV,absent,2,1.0
51,alexnet,train_big_set_size,3,RVvGV,absent,4,1.0
