setname,train_size,epochs,net_number,set_size,err
train,1200,250,0,all,0.06984374999999998
train,1200,250,0,1,0.0
train,1200,250,0,2,0.005624999999999991
train,1200,250,0,4,0.0653125
train,1200,250,0,8,0.20843750000000005
train,1200,250,1,all,0.07046874999999997
train,1200,250,1,1,0.0
train,1200,250,1,2,0.010312499999999947
train,1200,250,1,4,0.07406250000000003
train,1200,250,1,8,0.1975
train,1200,250,2,all,0.06781250000000005
train,1200,250,2,1,0.0
train,1200,250,2,2,0.007187500000000013
train,1200,250,2,4,0.0703125
train,1200,250,2,8,0.19374999999999998
train,1200,250,3,all,0.07296875000000003
train,1200,250,3,1,0.0
train,1200,250,3,2,0.006562500000000027
train,1200,250,3,4,0.06656249999999997
train,1200,250,3,8,0.21875
train,1200,250,4,all,0.06999999999999995
train,1200,250,4,1,0.0
train,1200,250,4,2,0.007187500000000013
train,1200,250,4,4,0.06374999999999997
train,1200,250,4,8,0.20906250000000004
train,3200,250,0,all,0.03359374999999998
train,3200,250,0,1,0.0
train,3200,250,0,2,0.0006249999999999867
train,3200,250,0,4,0.03093749999999995
train,3200,250,0,8,0.10281249999999997
train,3200,250,1,all,0.032109374999999996
train,3200,250,1,1,0.0
train,3200,250,1,2,0.0006249999999999867
train,3200,250,1,4,0.019062499999999982
train,3200,250,1,8,0.10875000000000001
train,3200,250,2,all,0.032031249999999956
train,3200,250,2,1,0.0
train,3200,250,2,2,0.0006249999999999867
train,3200,250,2,4,0.021874999999999978
train,3200,250,2,8,0.10562499999999997
train,3200,250,3,all,0.03390625000000003
train,3200,250,3,1,0.0
train,3200,250,3,2,0.00031250000000004885
train,3200,250,3,4,0.021874999999999978
train,3200,250,3,8,0.11343749999999997
train,3200,250,4,all,0.03171875000000002
train,3200,250,4,1,0.0
train,3200,250,4,2,0.0
train,3200,250,4,4,0.024375000000000036
train,3200,250,4,8,0.10250000000000004
train,6400,250,0,all,0.020078124999999947
train,6400,250,0,1,0.0
train,6400,250,0,2,0.0
train,6400,250,0,4,0.010312499999999947
train,6400,250,0,8,0.06999999999999995
train,6400,250,1,all,0.018124999999999947
train,6400,250,1,1,0.0
train,6400,250,1,2,0.0
train,6400,250,1,4,0.008125000000000049
train,6400,250,1,8,0.06437499999999996
train,6400,250,2,all,0.018750000000000044
train,6400,250,2,1,0.0
train,6400,250,2,2,0.00031250000000004885
train,6400,250,2,4,0.0068749999999999645
train,6400,250,2,8,0.06781250000000005
train,6400,250,3,all,0.018046875000000018
train,6400,250,3,1,0.0
train,6400,250,3,2,0.00031250000000004885
train,6400,250,3,4,0.010937500000000044
train,6400,250,3,8,0.06093749999999998
train,6400,250,4,all,0.018281250000000027
train,6400,250,4,1,0.0
train,6400,250,4,2,0.0
train,6400,250,4,4,0.010312499999999947
train,6400,250,4,8,0.06281250000000005
