setname,train_size,epochs,net_number,set_size,err
train,1200,250,0,all,0.303359375
train,1200,250,0,1,0.10281249999999997
train,1200,250,0,2,0.32625000000000004
train,1200,250,0,4,0.38093750000000004
train,1200,250,0,8,0.4034375
train,1200,250,1,all,0.30890625000000005
train,1200,250,1,1,0.10531250000000003
train,1200,250,1,2,0.316875
train,1200,250,1,4,0.39625
train,1200,250,1,8,0.41718750000000004
train,1200,250,2,all,0.30015625
train,1200,250,2,1,0.09937499999999999
train,1200,250,2,2,0.32281249999999995
train,1200,250,2,4,0.37812500000000004
train,1200,250,2,8,0.40031249999999996
train,1200,250,3,all,0.30828124999999995
train,1200,250,3,1,0.10906249999999995
train,1200,250,3,2,0.3309375
train,1200,250,3,4,0.37593750000000004
train,1200,250,3,8,0.41718750000000004
train,1200,250,4,all,0.30421875
train,1200,250,4,1,0.10562499999999997
train,1200,250,4,2,0.321875
train,1200,250,4,4,0.37687499999999996
train,1200,250,4,8,0.4125
train,3200,250,0,all,0.19874999999999998
train,3200,250,0,1,0.004687499999999956
train,3200,250,0,2,0.18593749999999998
train,3200,250,0,4,0.2875
train,3200,250,0,8,0.316875
train,3200,250,1,all,0.19828124999999996
train,3200,250,1,1,0.004062499999999969
train,3200,250,1,2,0.17625000000000002
train,3200,250,1,4,0.28312499999999996
train,3200,250,1,8,0.3296875
train,3200,250,2,all,0.20015625000000004
train,3200,250,2,1,0.0050000000000000044
train,3200,250,2,2,0.17656249999999996
train,3200,250,2,4,0.2896875
train,3200,250,2,8,0.329375
train,3200,250,3,all,0.20125000000000004
train,3200,250,3,1,0.0050000000000000044
train,3200,250,3,2,0.17812499999999998
train,3200,250,3,4,0.290625
train,3200,250,3,8,0.33125000000000004
train,3200,250,4,all,0.203125
train,3200,250,4,1,0.00593750000000004
train,3200,250,4,2,0.181875
train,3200,250,4,4,0.2875
train,3200,250,4,8,0.3371875
train,6400,250,0,all,0.12828125
train,6400,250,0,1,0.0
train,6400,250,0,2,0.07937499999999997
train,6400,250,0,4,0.20125000000000004
train,6400,250,0,8,0.23250000000000004
train,6400,250,1,all,0.12875000000000003
train,6400,250,1,1,0.0
train,6400,250,1,2,0.07687500000000003
train,6400,250,1,4,0.2025
train,6400,250,1,8,0.23562499999999997
train,6400,250,2,all,0.13039062499999998
train,6400,250,2,1,0.0015625000000000222
train,6400,250,2,2,0.083125
train,6400,250,2,4,0.20468750000000002
train,6400,250,2,8,0.2321875
train,6400,250,3,all,0.13296874999999997
train,6400,250,3,1,0.0
train,6400,250,3,2,0.08031250000000001
train,6400,250,3,4,0.20687500000000003
train,6400,250,3,8,0.24468749999999995
train,6400,250,4,all,0.12937500000000002
train,6400,250,4,1,0.00031250000000004885
train,6400,250,4,2,0.083125
train,6400,250,4,4,0.20406250000000004
train,6400,250,4,8,0.22999999999999998
train,8000,250,0,all,0.10562499999999997
train,8000,250,0,1,0.0
train,8000,250,0,2,0.05812499999999998
train,8000,250,0,4,0.16000000000000003
train,8000,250,0,8,0.20437499999999997
train,8000,250,1,all,0.10960937500000001
train,8000,250,1,1,0.0
train,8000,250,1,2,0.06374999999999997
train,8000,250,1,4,0.1584375
train,8000,250,1,8,0.21625000000000005
train,8000,250,2,all,0.11046875
train,8000,250,2,1,0.0
train,8000,250,2,2,0.06374999999999997
train,8000,250,2,4,0.16031249999999997
train,8000,250,2,8,0.21781249999999996
train,8000,250,3,all,0.10624999999999996
train,8000,250,3,1,0.0
train,8000,250,3,2,0.05343750000000003
train,8000,250,3,4,0.15874999999999995
train,8000,250,3,8,0.21281249999999996
train,8000,250,4,all,0.109375
train,8000,250,4,1,0.0
train,8000,250,4,2,0.06062500000000004
train,8000,250,4,4,0.15968749999999998
train,8000,250,4,8,0.21718749999999998
train,12800,250,0,all,0.06710937500000003
train,12800,250,0,1,0.0
train,12800,250,0,2,0.02531249999999996
train,12800,250,0,4,0.10343749999999996
train,12800,250,0,8,0.13968749999999996
train,12800,250,1,all,0.06437499999999996
train,12800,250,1,1,0.0
train,12800,250,1,2,0.024062499999999987
train,12800,250,1,4,0.09687500000000004
train,12800,250,1,8,0.13656250000000003
train,12800,250,2,all,0.06734375000000004
train,12800,250,2,1,0.0
train,12800,250,2,2,0.028437500000000004
train,12800,250,2,4,0.10218749999999999
train,12800,250,2,8,0.13875000000000004
train,12800,250,3,all,0.06328124999999996
train,12800,250,3,1,0.0
train,12800,250,3,2,0.02531249999999996
train,12800,250,3,4,0.0965625
train,12800,250,3,8,0.13124999999999998
train,12800,250,4,all,0.06656249999999997
train,12800,250,4,1,0.0
train,12800,250,4,2,0.030625000000000013
train,12800,250,4,4,0.10124999999999995
train,12800,250,4,8,0.13437500000000002
test,1200,250,0,all,0.33858490566037736
test,1200,250,0,1,0.12452830188679243
test,1200,250,0,2,0.37396226415094336
test,1200,250,0,4,0.41471698113207545
test,1200,250,0,8,0.4411320754716981
test,1200,250,1,all,0.3466037735849057
test,1200,250,1,1,0.12905660377358485
test,1200,250,1,2,0.3566037735849057
test,1200,250,1,4,0.4343396226415094
test,1200,250,1,8,0.4664150943396227
test,1200,250,2,all,0.3374528301886792
test,1200,250,2,1,0.12301886792452832
test,1200,250,2,2,0.36
test,1200,250,2,4,0.4173584905660377
test,1200,250,2,8,0.4494339622641509
test,1200,250,3,all,0.33509433962264146
test,1200,250,3,1,0.12075471698113205
test,1200,250,3,2,0.36716981132075477
test,1200,250,3,4,0.4173584905660377
test,1200,250,3,8,0.43509433962264155
test,1200,250,4,all,0.33707547169811325
test,1200,250,4,1,0.1264150943396226
test,1200,250,4,2,0.3566037735849057
test,1200,250,4,4,0.41811320754716985
test,1200,250,4,8,0.44716981132075473
test,3200,250,0,all,0.25575471698113206
test,3200,250,0,1,0.007924528301886835
test,3200,250,0,2,0.23207547169811316
test,3200,250,0,4,0.3509433962264151
test,3200,250,0,8,0.4320754716981132
test,3200,250,1,all,0.25415094339622646
test,3200,250,1,1,0.00452830188679243
test,3200,250,1,2,0.23283018867924532
test,3200,250,1,4,0.35584905660377364
test,3200,250,1,8,0.42339622641509433
test,3200,250,2,all,0.2585849056603774
test,3200,250,2,1,0.008679245283018888
test,3200,250,2,2,0.2347169811320755
test,3200,250,2,4,0.35396226415094345
test,3200,250,2,8,0.43698113207547173
test,3200,250,3,all,0.2533962264150943
test,3200,250,3,1,0.006037735849056647
test,3200,250,3,2,0.22716981132075476
test,3200,250,3,4,0.349811320754717
test,3200,250,3,8,0.430566037735849
test,3200,250,4,all,0.26292452830188684
test,3200,250,4,1,0.00905660377358486
test,3200,250,4,2,0.23735849056603775
test,3200,250,4,4,0.36075471698113204
test,3200,250,4,8,0.4445283018867925
test,6400,250,0,all,0.2095283018867925
test,6400,250,0,1,0.0011320754716981352
test,6400,250,0,2,0.12226415094339627
test,6400,250,0,4,0.3037735849056604
test,6400,250,0,8,0.41094339622641507
test,6400,250,1,all,0.2062264150943396
test,6400,250,1,1,0.0011320754716981352
test,6400,250,1,2,0.12377358490566037
test,6400,250,1,4,0.2916981132075471
test,6400,250,1,8,0.40830188679245283
test,6400,250,2,all,0.21150943396226418
test,6400,250,2,1,0.0037735849056603765
test,6400,250,2,2,0.11962264150943391
test,6400,250,2,4,0.30150943396226415
test,6400,250,2,8,0.42113207547169806
test,6400,250,3,all,0.20235849056603772
test,6400,250,3,1,0.00037735849056608206
test,6400,250,3,2,0.11773584905660373
test,6400,250,3,4,0.2969811320754717
test,6400,250,3,8,0.39433962264150946
test,6400,250,4,all,0.21349056603773586
test,6400,250,4,1,0.0030188679245283234
test,6400,250,4,2,0.1267924528301887
test,6400,250,4,4,0.3154716981132075
test,6400,250,4,8,0.4086792452830189
